ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PCPC-NSOM  ;P. Comunista del Poble de Catalunya-Nosaltres Som ;40;0,13;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;33;0,11;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PUM+J      ;Por un Mundo Más Justo                            ;26;0,08;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PFiV       ;Partit Família i Vida                             ;21;0,07;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;20;0,06;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;MSR        ;Movimiento Social Republicano                     ;15;0,05;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PH         ;Partit Humanista de Catalunya                     ;9;0,03;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;CiU        ;Convergència i Unió                               ;17.344;36,72;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;11.644;24,65;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;8.792;18,61;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.594;7,61;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PP         ;Partit Popular                                    ;3.268;6,92;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;412;0,87;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;343;0,73;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;RC         ;Partit Republicà Català                           ;206;0,44;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;170;0,36;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;146;0,31;0;
A;2006;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;CenB       ;Ciudadanos en Blanco                              ;107;0,23;0;
