ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;CENS ELECTORAL;VOTANTS;% VOTANTS;ABSTENCIÓ;% ABSTENCIÓ;VOTS NULS;% VOTS NULS;VOTS EN BLANC;% VOTS EN BLANC;VOTS A CANDIDATURES;% VOTS A CANDIDATURES;VOTS VÀLIDS;% VOTS VÀLIDS
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;57;Corçà;;;1.003;622;62,01;381;37,99;5;0,80;27;4,34;590;94,86;617;99,20
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;58;Crespià;;;180;112;62,22;68;37,78;0;0,00;2;1,79;110;98,21;112;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;60;Darnius;;;383;259;67,62;124;32,38;7;2,70;3;1,16;249;96,14;252;97,30
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;61;Das;;;173;125;72,25;48;27,75;0;0,00;5;4,00;120;96,00;125;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;62;Escala, l;;;5.997;3.419;57,01;2.578;42,99;20;0,58;103;3,01;3.296;96,40;3.399;99,42
A;2010;MU;Catalunya;17;Girona;24;Osona;63;Espinelves;;;167;130;77,84;37;22,16;4;3,08;11;8,46;115;88,46;126;96,92
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;64;Espolla;;;333;252;75,68;81;24,32;4;1,59;4;1,59;244;96,83;248;98,41
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;65;Esponellà;;;334;236;70,66;98;29,34;2;0,85;5;2,12;229;97,03;234;99,15
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;66;Figueres;;;25.655;13.933;54,31;11.722;45,69;123;0,88;381;2,73;13.429;96,38;13.810;99,12
A;2010;MU;Catalunya;17;Girona;20;Gironès;67;Flaçà;;;752;502;66,76;250;33,24;7;1,39;20;3,98;475;94,62;495;98,61
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;68;Foixà;;;254;183;72,05;71;27,95;2;1,09;8;4,37;173;94,54;181;98,91
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;69;Fontanals de Cerdanya;;;382;250;65,45;132;34,55;6;2,40;1;0,40;243;97,20;244;97,60
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;70;Fontanilles;;;118;79;66,95;39;33,05;0;0,00;4;5,06;75;94,94;79;100,00
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;71;Fontcoberta;;;1.035;748;72,27;287;27,73;14;1,87;24;3,21;710;94,92;734;98,13
A;2010;MU;Catalunya;17;Girona;20;Gironès;73;Fornells de la Selva;;;1.711;1.329;77,67;382;22,33;5;0,38;37;2,78;1.287;96,84;1.324;99,62
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;74;Fortià;;;481;291;60,50;190;39,50;3;1,03;15;5,15;273;93,81;288;98,97
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;75;Garrigàs;;;299;215;71,91;84;28,09;4;1,86;8;3,72;203;94,42;211;98,14
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;76;Garrigoles;;;120;73;60,83;47;39,17;1;1,37;6;8,22;66;90,41;72;98,63
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;77;Garriguella;;;583;367;62,95;216;37,05;1;0,27;3;0,82;363;98,91;366;99,73
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;78;Ger;;;342;250;73,10;92;26,90;2;0,80;8;3,20;240;96,00;248;99,20
A;2010;MU;Catalunya;17;Girona;20;Gironès;79;Girona;;;62.235;39.111;62,84;23.124;37,16;334;0,85;1.161;2,97;37.616;96,18;38.777;99,15
A;2010;MU;Catalunya;17;Girona;31;Ripollès;80;Gombrèn;;;163;104;63,80;59;36,20;4;3,85;3;2,88;97;93,27;100;96,15
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;81;Gualta;;;235;164;69,79;71;30,21;2;1,22;5;3,05;157;95,73;162;98,78
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;82;Guils de Cerdanya;;;429;279;65,03;150;34,97;2;0,72;5;1,79;272;97,49;277;99,28
A;2010;MU;Catalunya;17;Girona;34;Selva;83;Hostalric;;;2.871;1.647;57,37;1.224;42,63;18;1,09;66;4,01;1.563;94,90;1.629;98,91
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;84;Isòvol;;;256;188;73,44;68;26,56;2;1,06;5;2,66;181;96,28;186;98,94
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;85;Jafre;;;290;231;79,66;59;20,34;7;3,03;11;4,76;213;92,21;224;96,97
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;86;Jonquera, la;;;1.655;984;59,46;671;40,54;6;0,61;22;2,24;956;97,15;978;99,39
A;2010;MU;Catalunya;17;Girona;20;Gironès;87;Juià;;;219;155;70,78;64;29,22;2;1,29;4;2,58;149;96,13;153;98,71
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;88;Lladó;;;539;355;65,86;184;34,14;1;0,28;10;2,82;344;96,90;354;99,72
A;2010;MU;Catalunya;17;Girona;20;Gironès;89;Llagostera;;;5.424;3.161;58,28;2.263;41,72;28;0,89;84;2,66;3.049;96,46;3.133;99,11
A;2010;MU;Catalunya;17;Girona;20;Gironès;90;Llambilles;;;536;394;73,51;142;26,49;4;1,02;11;2,79;379;96,19;390;98,98
A;2010;MU;Catalunya;17;Girona;31;Ripollès;91;Llanars;;;441;301;68,25;140;31,75;7;2,33;7;2,33;287;95,35;294;97,67
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;92;Llançà;;;3.542;2.093;59,09;1.449;40,91;42;2,01;43;2,05;2.008;95,94;2.051;97,99
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;93;Llers;;;858;536;62,47;322;37,53;1;0,19;23;4,29;512;95,52;535;99,81
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;94;Llívia;;;1.149;658;57,27;491;42,73;2;0,30;10;1,52;646;98,18;656;99,70
A;2010;MU;Catalunya;17;Girona;34;Selva;95;Lloret de Mar;;;19.071;9.362;49,09;9.709;50,91;61;0,65;207;2,21;9.094;97,14;9.301;99,35
A;2010;MU;Catalunya;17;Girona;31;Ripollès;96;Llosses, les;;;184;103;55,98;81;44,02;2;1,94;1;0,97;100;97,09;101;98,06
A;2010;MU;Catalunya;17;Girona;20;Gironès;97;Madremanya;;;176;141;80,11;35;19,89;2;1,42;7;4,96;132;93,62;139;98,58
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;98;Maià de Montcal;;;311;216;69,45;95;30,55;1;0,46;9;4,17;206;95,37;215;99,54
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;99;Meranges;;;82;57;69,51;25;30,49;2;3,51;4;7,02;51;89,47;55;96,49
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;100;Masarac;;;199;146;73,37;53;26,63;1;0,68;7;4,79;138;94,52;145;99,32
A;2010;MU;Catalunya;17;Girona;34;Selva;101;Massanes;;;557;282;50,63;275;49,37;10;3,55;5;1,77;267;94,68;272;96,45
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;102;Maçanet de Cabrenys;;;573;384;67,02;189;32,98;2;0,52;10;2,60;372;96,88;382;99,48
A;2010;MU;Catalunya;17;Girona;34;Selva;103;Maçanet de la Selva;;;4.940;2.281;46,17;2.659;53,83;18;0,79;46;2,02;2.217;97,19;2.263;99,21
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;105;Mieres;;;255;160;62,75;95;37,25;1;0,63;8;5,00;151;94,38;159;99,38
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;106;Mollet de Peralada;;;130;98;75,38;32;24,62;1;1,02;1;1,02;96;97,96;97;98,98
